mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07392382621765137,0.011925821617942523,0.0368349552154541,0.008190137520818618,0.1,,10000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6040813681313235,0.6048056908895445,0.6094273937898165,0.6061048176035615,0.002367952033526118,11
0.11259118715922038,0.023670962515207266,0.046979029973347984,0.005815163859922315,0.1,,10000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6045856710441904,0.607191871464842,0.610154774934266,0.6073107724810994,0.0022751311498261737,5
0.06841683387756348,0.006660069139311286,0.025634209314982098,0.0023101808862785434,0.1,,10000,2,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6018863434117672,0.6027106009264795,0.6069860748344111,0.6038610063908859,0.002235231486174331,29
0.09009035428365071,0.007320718640711797,0.03798238436381022,0.005665183311338664,0.1,,10000,2,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6030079544798546,0.6043811724007977,0.6077445243379713,0.6050445504062079,0.001989778260468831,19
0.0798329512278239,0.013138499550895577,0.04221018155415853,0.01512337876884939,0.1,,30000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 30000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6040813681313235,0.6048056908895445,0.6094273937898165,0.6061048176035615,0.002367952033526118,11
0.14302237828572592,0.02677658947724636,0.06108816464742025,0.004468825883514299,0.1,,30000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 30000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6045856710441904,0.607191871464842,0.610154774934266,0.6073107724810994,0.0022751311498261737,5
0.06224902470906576,0.006660280778282056,0.026670217514038086,0.002477991486500963,0.1,,30000,2,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6018863434117672,0.6027106009264795,0.6069860748344111,0.6038610063908859,0.002235231486174331,29
0.07519849141438802,0.0076067047615110605,0.036815643310546875,0.004311483499615434,0.1,,30000,2,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': None, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6030079544798546,0.6043811724007977,0.6077445243379713,0.6050445504062079,0.001989778260468831,19
0.054100354512532554,0.003945311387402347,0.041031281153361,0.0027030421595724344,0.1,balanced,10000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6039130856258421,0.6043455008664643,0.6094257586130213,0.6058947817017759,0.0025030107465332683,15
0.1258841355641683,0.013894337222730495,0.04323554039001465,0.008565256858027727,0.1,balanced,10000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6048871091243972,0.6067420289097363,0.610094818451771,0.6072413188286349,0.002155153038176072,7
0.10116887092590332,0.004871515072162127,0.05621170997619629,0.01718858889167381,0.1,balanced,10000,2,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6018849819028231,0.6024227779357129,0.6069522811806413,0.6037533470063924,0.0022726183183911937,31
0.10810526212056477,0.004798569514206992,0.044910271962483726,0.005316957212250926,0.1,balanced,10000,2,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6035032714336906,0.6042044485398633,0.6075036082901283,0.6050704427545607,0.0017441584840375785,17
0.05693189303080241,0.009107941484925879,0.03418215115865072,0.003930295936125399,0.1,balanced,30000,1,"(1, 1)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 30000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",0.6039130856258421,0.6043455008664643,0.6094257586130213,0.6058947817017759,0.0025030107465332683,15
0.10286911328633626,0.005839859083070893,0.03783186276753744,0.005638573293421633,0.1,balanced,30000,1,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_features': 30000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6048871091243972,0.6067420289097363,0.610094818451771,0.6072413188286349,0.002155153038176072,7
